1,usuario1,"¡Hola mundo!",2023-01-01
2,usuario2,"Estoy emocionado por el nuevo año.",2023-01-02
3,usuario1,"Compartiendo mis pensamientos.",2023-01-02
4,usuario3,"Feliz año nuevo a todos.",2023-01-03
5,usuario2,"Comiendo una deliciosa cena.",2023-01-03
6,usuario3,"¡Vamos a lograr grandes cosas este año!",2023-01-04
7,usuario2,"Disfrutando de las vacaciones.",2023-01-04
8,usuario1,"¡Feliz año nuevo a todos mis seguidores!",2023-01-05
9,usuario2,"Planeando mis metas para este año.",2023-01-05
10,usuario3,"Compartiendo mi resolución de año nuevo.",2023-01-05
